StudentID	Session	Walkthrough	Feedback	ProblemNumber	StartTime	EndTime	SecondsElapsed	ElapsedTime	Problem Type	Descriptive Problem Type	Generic Prob Type	Type Attempt	Generic Type Attempt	Formula Attempts	HintRequests	FixWithHelp	|modHintReq	|modFixWithHelp	EFFORT	IN1Error	IN2Error	EX1Error	EX2Error	EX3Error	Formulas Entered	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	OriginalOrder	StudID	Student	Snum	Session	MATH	Condition	Opp1	LnOpp1	ProbNum	Opp30	LnOpp30	ElapsedTime	ElapsedMinutes	CrtTimeSec	Skills6	Opp6	LnOpp6	Time6	Skills5	Opp5	LnOpp5	Skills4	Opp4	LnOpp4	Skills3	Opp3	LnOpp3	Time3	AbsRefSkill	OppAbsRef	LnOppAbsRef	LnOppAbsRefFirst	LnOppRelRef	AbsCompSkill	LnOppAbsComp	Skills2	Opp2	LnOpp2	FormulaAttempts	Incorrects	Partial-Credit-Crt	Hints	ErrorRate	Assistance-Score	Assist-Prob	SuccessMod	AssistProbMod
1	1	noWT	IN	1	7/10/2002 10:13:28	7/10/2002 10:14:21	53	00:53.0	3	Rel-Horiz	Relative	1		1	0	0	0	0	1	0	0	0	0	0	'=B4*B5																	1	1	S1	1	1	3	IN	1	0	1	1	0	00:53.0	0.883333333	53	zero refs col	1	0	0	zero refs	1	0	zero refs	1	0	zero refs	1	0	0	0	0	0	0	0	0	0	Relative	1	0	1	0	1	0	0	0	1	1	1
1	1	noWT	IN	2	7/10/2002 10:14:43	7/10/2002 10:16:19	96	01:36.0	2	Abs-Row	Absolute	1		2	1	0	1	0	3	0	0	0	0	0	'=B2*A5	'=B$2*A5																2	1	S1	1	1	3	IN	2	0.693147181	2	1	0	01:36.0	1.6		one ref row	1	0	0	one ref row	1	0	one ref	1	0	one ref	1	0	0	1	0	0	0	0	0	0	Absolute	1	0	2	1	0.5	1	1	2	0.333333333	0	0.333333333
1	1	noWT	IN	3	7/10/2002 10:16:39	7/10/2002 10:17:04	25	00:25.0	4	Rel-Vert	Relative	1		1	0	0	0	0	1	0	0	0	0	0	'=B2*C2																	3	1	S1	1	1	3	IN	3	1.098612289	3	1	0	00:25.0	0.416666667	25	zero refs row	1	0	0	zero refs	2	0.693147181	zero refs	2	0.693147181	zero refs	2	0.693147181	0.883333333	0	0	0	0	0.693147181	0	0	Relative	2	0.693147181	1	0	1	0	0	0	1	1	1
1	1	noWT	IN	4	7/10/2002 10:17:22	7/10/2002 10:17:53	31	00:31.0	1	Abs-Col	Absolute	1		1	0	0	0	0	1	0	0	0	0	0	'=$A5*B2																	4	1	S1	1	1	3	IN	4	1.386294361	4	1	0	00:31.0	0.516666667	31	one ref col	1	0	0	one ref col	1	0	one ref	2	0.693147181	one ref	2	0.693147181	1.6	1	1	0.693147181	0.693147181	0	0	0	Absolute	2	0.693147181	1	0	1	0	0	0	1	1	1
1	1	noWT	IN	5	7/10/2002 10:18:04	7/10/2002 10:22:22	258	04:18.0	5	Abs-Row-Col	Absolute	1		3	2	1	2	2	7	0	1	0	0	0	'=$B3*B7	'=B$3*B7	'=$B$3*B7															5	1	S1	1	1	3	IN	5	1.609437912	5	1	0	04:18.0	4.3		double abs	1	0	0	double abs	1	0	double abs	1	0	two refs	1	0	0	2	2	1.098612289	1.098612289	0	1	0	Absolute	3	1.098612289	3	2	0.333333333	2	1	4	0.2	0	0.2
1	1	noWT	IN	6	7/10/2002 10:22:47	7/10/2002 10:26:45	238	03:58.0	6	Matrix	Absolute	1		3	1	1	1	2	6	2	1	0	0	0	'=B4*C2	'=B$4*C$2	'=$B4*C$2															6	1	S1	1	1	3	IN	6	1.791759469	6	1	0	03:58.0	3.966666667		matrix	1	0	0	matrix	1	0	matrix	1	0	two refs	2	0.693147181	4.3	2	4	1.609437912	1.386294361	0	1	0.693147181	Absolute	4	1.386294361	3	2	0.333333333	1	1	3	0.25	0	0.25
1	1	noWT	IN	7	7/10/2002 10:27:20	7/10/2002 10:27:50	30	00:30.0	3	Rel-Horiz	Relative	2		1	0	0	0	0	1	0	0	0	0	0	'=B3*B4																	7	1	S1	1	1	3	IN	7	1.945910149	7	1	0	00:30.0	0.5	30	zero refs col	2	0.693147181	0.883333333	zero refs	3	1.098612289	zero refs	3	1.098612289	zero refs	3	1.098612289	1.3	0	0	0	0	1.098612289	0	0	Relative	3	1.098612289	1	0	1	0	0	0	1	1	1
1	1	noWT	IN	8	7/10/2002 10:28:09	7/10/2002 10:29:02	53	00:53.0	2	Abs-Row	Absolute	2		1	0	0	0	0	1	0	0	0	0	0	'=$B$1*B4																	8	1	S1	1	1	3	IN	8	2.079441542	8	1	0	00:53.0	0.883333333	53	one ref row	2	0.693147181	1.6	one ref row	2	0.693147181	one ref	3	1.098612289	one ref	3	1.098612289	2.116666667	1	6	1.945910149	1.609437912	0	0	0	Absolute	5	1.609437912	1	0	1	0	0	0	1	1	1
1	1	noWT	IN	9	7/10/2002 10:29:29	7/10/2002 10:30:10	41	00:41.0	4	Rel-Vert	Relative	2		1	0	0	0	0	1	0	0	0	0	0	'=$B2*$C2																	9	1	S1	1	1	3	IN	9	2.197224577	9	1	0	00:41.0	0.683333333	41	zero refs row	2	0.693147181	0.416666667	zero refs	4	1.386294361	zero refs	4	1.386294361	zero refs	4	1.386294361	1.8	0	0	0	0	1.386294361	0	0	Relative	4	1.386294361	1	0	1	0	0	0	1	1	1
1	1	noWT	IN	10	7/10/2002 10:30:24	7/10/2002 10:30:59	35	00:35.0	1	Abs-Col	Absolute	2		2	0	0	0	0	2	0	0	0	0	0	'=A5*B2	'=$A5*B2																10	1	S1	1	1	3	IN	10	2.302585093	10	1	0	00:35.0	0.583333333		one ref col	2	0.693147181	0.516666667	one ref col	2	0.693147181	one ref	4	1.386294361	one ref	4	1.386294361	3	1	7	2.079441542	1.791759469	0	0	0	Absolute	6	1.791759469	2	1	0.5	0	1	1	0.5	0	0.5
